X,Y,C,R,DirApp_year,LU_year,NatmLosses,Ndeposition,Nfertilizer,Ngw,NgwDirect,Ngw_nondirect,Nharvest,Nharvest_actual,Nirrigation,NlandApplied,NmanureSale,Nnorm,Nrunoff_actual,Nseptic
-192125,298425,625,3,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192075,298425,626,3,0.00000,2.00000,0.30593,3.05925,0.00000,0.27533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.00000
-192025,298425,627,3,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-193275,298375,602,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193225,298375,603,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193175,298375,604,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193125,298375,605,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193075,298375,606,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193025,298375,607,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192975,298375,608,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192925,298375,609,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
